productid,sku,quantity,location,item cost price
4000,EAR-TI-GLD,0,Display Case E,24.99
4001,EAR-TI-SLV,0,Display Case D,22.99
4002,EAR-HG-GLD,0,Display Case B,34.99
4003,EAR-HG-SLV,-3,Display Case C,32.99
4004,EAR-FL-GLD,0,Piercing Station 2,29.99
4005,EAR-FL-SLV,-4,Piercing Station 1,27.99
4006,EAR-CZ-CLR,0,Wall Rack,19.99
4007,EAR-CZ-BLK,-5,Display Case E,19.99
4008,EAR-OP-WHT,-3,Display Case C,25.99
4009,EAR-OP-PNK,0,Display Case A,27.99
4010,EAR-ST-MN,0,Piercing Station 1,18.99
4011,EAR-ST-HRT,-2,Display Case D,18.99
4012,EAR-BZ-GLD,0,Back Stock,36.99
4013,EAR-BZ-SLV,0,Display Case E,34.99
4014,EAR-CL-DBL,0,Display Case C,42.99
4015,EAR-CL-TRP,-1,Piercing Station 2,48.99
4016,EAR-CH-LNK,0,Back Stock,22.99
4017,EAR-CH-THR,0,Wall Rack,22.99
4018,EAR-DG-RND,0,Display Case C,26.99
4019,EAR-DG-OVL,-4,Display Case A,28.99
4020,EAR-CB-SQ,0,Display Case C,31.99
4021,EAR-CB-TRI,0,Piercing Station 2,31.99
4022,EAR-PL-THN,-3,Display Case B,14.99
4023,EAR-PL-THK,0,Display Case B,16.99
5001,RS-REPAIR-02,0,Back Stock,9.99
