productid,sku,quantity,location,item cost price
4000,EAR-TI-GLD,0,Display Case D,24.99
4001,EAR-TI-SLV,0,Display Case A,22.99
4002,EAR-HG-GLD,0,Display Case A,34.99
4003,EAR-HG-SLV,0,Piercing Station 2,32.99
4004,EAR-FL-GLD,0,Display Case B,29.99
4005,EAR-FL-SLV,0,Piercing Station 1,27.99
4006,EAR-CZ-CLR,0,Display Case B,19.99
4007,EAR-CZ-BLK,-3,Display Case D,19.99
4008,EAR-OP-WHT,0,Back Stock,25.99
4009,EAR-OP-PNK,0,Display Case A,27.99
4010,EAR-ST-MN,1,Wall Rack,18.99
4011,EAR-ST-HRT,0,Display Case B,18.99
4012,EAR-BZ-GLD,0,Wall Rack,36.99
4013,EAR-BZ-SLV,0,Display Case B,34.99
4014,EAR-CL-DBL,0,Display Case C,42.99
4015,EAR-CL-TRP,2,Display Case E,48.99
4016,EAR-CH-LNK,1,Back Stock,22.99
4017,EAR-CH-THR,0,Back Stock,22.99
4018,EAR-DG-RND,-3,Back Stock,26.99
4019,EAR-DG-OVL,3,Display Case B,28.99
4020,EAR-CB-SQ,-2,Back Stock,31.99
4021,EAR-CB-TRI,0,Piercing Station 2,31.99
4022,EAR-PL-THN,0,Display Case D,14.99
4023,EAR-PL-THK,0,Wall Rack,16.99
