productid,sku,quantity,location,item cost price
4000,EAR-TI-GLD,0,Display Case C,24.99
4001,EAR-TI-SLV,0,Wall Rack,22.99
4002,EAR-HG-GLD,0,Display Case D,34.99
4003,EAR-HG-SLV,0,Piercing Station 2,32.99
4004,EAR-FL-GLD,-4,Display Case D,29.99
4005,EAR-FL-SLV,-1,Display Case D,27.99
4006,EAR-CZ-CLR,0,Back Stock,19.99
4007,EAR-CZ-BLK,2,Piercing Station 1,19.99
4008,EAR-OP-WHT,0,Display Case A,25.99
4009,EAR-OP-PNK,-1,Display Case E,27.99
4010,EAR-ST-MN,-5,Display Case A,18.99
4011,EAR-ST-HRT,-5,Display Case B,18.99
4012,EAR-BZ-GLD,-2,Display Case A,36.99
4013,EAR-BZ-SLV,0,Wall Rack,34.99
4014,EAR-CL-DBL,0,Back Stock,42.99
4015,EAR-CL-TRP,0,Display Case C,48.99
4016,EAR-CH-LNK,0,Display Case A,22.99
4017,EAR-CH-THR,-3,Display Case B,22.99
4018,EAR-DG-RND,-5,Display Case C,26.99
4019,EAR-DG-OVL,-5,Back Stock,28.99
4020,EAR-CB-SQ,0,Display Case E,31.99
4021,EAR-CB-TRI,-1,Display Case B,31.99
4022,EAR-PL-THN,2,Display Case D,14.99
4023,EAR-PL-THK,-3,Back Stock,16.99
